1	Universidad Autónoma de Zacatecas	UAZ	http://www.uaz.edu.mx	Carr. a Guadalajara S/N	La Escondida	32056	32	98061	4929256690
2	Unidad Profesional Interdisciplinaria de Ingeniería Campus Zacatecas	UPIIZ	http://www.zacatecas.ipn.mx	Circuito del Gato 202	Ciudad Administrativa	32056	32	98160	4929242419
3	Instituto Tecnológico Superior Zacatecas Occidente	ITSZO	https://itszo.mx	Av. Tecnologico 2000	Loma La Perla	32042	32	99102	4339352201
4	Instituto Tecnológico de Aguascalientes	ITA	http://www.ita.mx	Av. Adolfo López Mateos 1801 Ote	Fracc. Bona Gens	1001	1	20256	4499105002
10	Instituto Tecnológico de Aguascalientes	ITA	http://www.ita.mx	Av. Adolfo López Mateos 1801 Ote	Fracc. Bona Gens	1001	1	20256	4499105002
